hls_synth__latency_best_cycles,hls_synth__latency_average_cycles,hls_synth__latency_worst_cycles,hls_synth__resources_lut_used,hls_synth__resources_ff_used,hls_synth__resources_dsp_used,hls_synth__resources_bram_used,hls_synth__resources_uram_used,impl__power__total_power,impl__power__dynamic_power,impl__power__static_power
39069.0,39069.0,39069.0,902,633,6,0,0,628.726,8.46,620.266
52820.0,52820.0,52820.0,1827,499,3,0,0,628.387,8.122,620.265
294457.0,294457.0,294457.0,40815,20252,15,72,0,799.393,177.938,621.455
6579.0,6579.0,6579.0,31481,37916,320,70,0,1248.681,624.979,623.702
6577.0,6577.0,6577.0,31508,37914,320,71,0,1260.774,637.004,623.77
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
2555.0,2555.0,2555.0,69496,81979,1024,135,0,2436.622,1806.102,630.52
45606.0,45606.0,45606.0,25419,35509,128,504,0,1213.161,587.754,625.408
41495.0,41495.0,41495.0,36159,49533,160,728,0,1351.797,724.748,627.049
6719.0,6719.0,6719.0,10871,17763,10,14,0,740.995,120.085,620.91
45610.0,45610.0,45610.0,27082,37232,128,392,0,984.951,361.251,623.7
28958.0,28958.0,28958.0,16762,22619,128,256,0,1033.064,409.607,623.457
